Objective1,Objective2,X_all_values
6487.9713,0.1629,"[77.74889944, 20, 49.10510951, 10, 87.33536259, 3, 53.7198042, 38, 74.8053645, 20.09625704, 98.80360911, 81, 85.81043666, 18.90089388, 79.02970862, 66, 61.57392226, 5, 24.0094369]"
6409.2144,0.1639,"[98.08784445, 41, 49.10510951, 10.57137283, 91.81660887, 84.0095181, 57.47270582, 38, 74.67343536, 19.72236709, 100.37936544, 82.03571994, 85.81043666, 18, 81.6453569, 65.01648733, 98.45463664, 89, 24.0094369]"
6441.9583,0.1636,"[45.11653733, 20, 62.10039781, 10, 88.81936784, 3, 57.62353042, 38, 75.89778954, 20.09625704, 100.37936544, 81, 86.49664793, 18.90089388, 79.02970862, 66, 97.78536527, 5, 41.83843379]"
6442.0575,0.1636,"[77.78498911, 20, 45.46026272, 10, 87.33536259, 3, 55.23998802, 38, 75.89778954, 20.09625704, 100.37936544, 81, 86.49664793, 18.90089388, 79.02970862, 66, 97.78536527, 5, 25.02206171]"
6449.543,0.1632,"[98.08784445, 20, 49.10510951, 10, 88.81936784, 3, 55.23998802, 38, 75.89778954, 20.09625704, 100.37936544, 81, 85.81043666, 18.90089388, 80.10608084, 66, 97.78536527, 5, 41.83843379]"
6472.0103,0.163,"[45.11653733, 20, 49.10510951, 10, 87.33536259, 3, 55.23998802, 38.04723551, 73.13363161, 20.09625704, 100.37936544, 81, 85.81043666, 18.90089388, 79.02970862, 66, 97.78536527, 5, 41.83843379]"
6427.9325,0.1636,"[45.11653733, 20, 62.10039781, 10, 88.81936784, 3, 57.62353042, 38, 75.89778954, 20.09625704, 100.37936544, 81, 85.81043666, 18.90089388, 81.2470565, 66, 97.78536527, 5, 41.83843379]"
6428.1823,0.1636,"[77.78498911, 20, 45.46026272, 10, 84.94835047, 3, 53.7198042, 38, 73.13363161, 20.09625704, 99.6795461, 81.02209921, 86.49664793, 18.90089388, 79.02970862, 66.02452357, 61.45874602, 5, 25.02206171]"
6468.0903,0.1632,"[44.93544811, 20, 45.46026272, 10, 85.94375563, 3, 57.47270582, 38, 73.13363161, 20.09625704, 86.27387137, 81, 86.49664793, 18.90089388, 79.02970862, 66, 59.82534588, 5, 21.79184454]"
6392.8563,0.1642,"[77.78498911, 20, 45.46026272, 10, 88.81936784, 3, 55.23998802, 38, 75.89778954, 20.09625704, 99.6795461, 81.02209921, 86.49664793, 18.90089388, 79.02970862, 66.02452357, 61.45874602, 5, 25.02206171]"
